Handle,Title,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Description,Status,Rating
Dazzlingrock-Collection-0.35-Carat-(ctw)-Round-White-Diamond-Double-Enhancer-Wedding-Ring-in-10K-Gold,Dazzlingrock Collection 0.35 Carat (ctw) Round White Diamond Double Enhancer Wedding Ring in 10K Gold,true,Product details,📋【SPECIFICATIONS】 - 10K Rose Gold 🔹 White Diamond Color: I-J | Clarity: I2-I3 | Creation: Natural | Treatment: Not-treated 🔹 Round White Diamond(s) Weight: 0.35 Carat 🔹 Product Width: 7.5mm (0.30 inch) 🔹 Model Number: K6024-10KR-4,Size,"['4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10']",Shopify,1000,deny,manual,$472.70,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41sRR+ZMjSL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31tTLfSWN-L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31S3nsaIkFL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31+xkfV1tgL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41EIFIgh6ZL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/515j9MKp5vL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"📋【SPECIFICATIONS】 - 10K Rose Gold 🔹 White Diamond Color: I-J | Clarity: I2-I3 | Creation: Natural | Treatment: Not-treated 🔹 Round White Diamond(s) Weight: 0.35 Carat 🔹 Product Width: 7.5mm (0.30 inch) 🔹 Model Number: K6024-10KR-4 💎 When it comes to giving gifts, there is always a DIAMOND as it means “FOREVER”; So make this the ultimate jewelry gift idea for Women, Wife, Fiancée, Moms, Sisters and In-laws, Valentine's - Anniversary, Mother's Day or Christmas. ❗【DISCLAIMER】 - Item(s) are smaller than what appears in photo; Photo enlarged to show detail. For precise dimensions, we kindly request you to refer to the scale image located under the product photos. It provides an accurate representation of the item's proportions, allowing you to make an informed decision about its size. ✅【GUARANTEE】 - We take great pride in ensuring that all our diamonds are ethically sourced, guaranteeing that they are conflict-free. Moreover, we go above and beyond to provide exceptional customer service to back our products. We proudly back our products with a generous 30-day money-back guarantee, providing you with complete peace of mind. ⭐【90 DAY WARRANTY】 - At our company, we take immense pride in the quality of our products, and we wholeheartedly stand behind them. For a deeper understanding of our values and mission, we invite you to explore our comprehensive 'About Us' page. To make your experience even more tailored, we welcome product customization requests through Amazon Messages, allowing you to personalize your order to perfection 🔸 If you require ring sizes not shown above, please reach out to us",active,3.8
Basic-Plain-Simple-Dome-Couples-Classic-Black-Rose-Gold-Plated-Titanium-4MM-Wedding-Band-Ring-For-Men-Women-Comfort-Fit,Basic Plain Simple Dome Couples Classic Black Rose Gold Plated Titanium 4MM Wedding Band Ring For Men Women Comfort Fit,true,Product details,"STUNNING STYLE - For the beloved man in your life, a stunning wedding band . This beautifully designed wedding band features a black band with shinny finish, and a comfort fit.",Size,"['4,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14']",Shopify,1000,deny,manual,$14.99,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41lOOELi7VL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31pxsbUm5IL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/415d6L-U-5L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31haWPq-JGL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31wfoFazppL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81350j15jTL.SS40_PKmb-play-button-overlay-thumb_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41mYxHhd0EL.SS40_PKmb-play-button-overlay-thumb_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"STUNNING STYLE - For the beloved man in your life, a stunning wedding band . This beautifully designed wedding band features a black band with shinny finish, and a comfort fit. Measure: 4mm Band Width Weight: 5 grams Material Metal materials of Titanium, Alloyed, Carbide Unisex -durable will resist tarnish and never lose its shine heavy durable hypoallergenic and scratch resistant. Thoughtful Gifts for Him: Our jewelry is the perfect choice for special occasions such as Father's Day, birthdays, Christmas, holidays, graduations, groomsmen gifts, anniversaries, and Valentine’s Day. Whether it's for your best friend, boyfriend, brother, dad, grandfather, son, husband, uncle, nephew, a teenage guy, or even to treat yourself, our unique pieces make for meaningful and stylish gifts for men. USA-Based Company with 30-Day After-Sale Service: We take pride in our craftsmanship and product quality. Rest assured, if you receive an item with manufacturing defects, we've got you covered. Click on 'Sold by' to contact our friendly customer service. Your satisfaction is our top priority, and we'll do everything we can to make it right.",active,4.6
"Enso-Rings-Stackable-Beaded-Silicone-Wedding-Ring-–-Hypoallergenic-Unisex-Stackable-Wedding-Band-–-Comfortable-Minimalist-Band-–-2.5mm-Wide,-8mm-Thick","Enso Rings Stackable Beaded Silicone Wedding Ring – Hypoallergenic Unisex Stackable Wedding Band – Comfortable Minimalist Band – 2.5mm Wide, 8mm Thick",true,Product details,STACKABLE BEADED SILICONE RING: The original stackable silicone ring! The Beaded Stackable started it all and continues to be one of our most popular stackable rings. Enso Stackable Silicone Rings are the perfect way to express your unique personality. The possibilities are endless!,Size,"['4,5,6,7,8,9,10']",Shopify,1000,deny,manual,$14.99,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31fcl3ylSFL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41K-VhobJyL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41MvASNq2-L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41bB0nDI2jL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/417aFYbFa9L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/417joNMCMGL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51ITm1dJ+YL.SS40_PKmb-play-button-overlay-thumb_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"STACKABLE BEADED SILICONE RING: The original stackable silicone ring! The Beaded Stackable started it all and continues to be one of our most popular stackable rings. Enso Stackable Silicone Rings are the perfect way to express your unique personality. The possibilities are endless! STACKABLE BEADED WEDDING BAND: This thin, silicone wedding band looks great on men and women, allowing you and your fiancé to purchase a matching set! The ring is 2.5mm Wide, 1.8mm Thick. Purchase the same color ring for you and your partner, or complimenting colors. Show off your personality with the unique pyramid-style stackable ring. COMFORTABLE CONTOUR FIT: The Enso stackable ring is in a league of its own. The unique, flexible design means wearing your ring will be comfortable even if your fingers or hands are prone to swelling. Enso Rings are perfect for the gym, the job, or the outdoors. They go wherever you do. FINGER-SAFE RING: At Enso, we know how active you are, so we have engineered this ring with Anti Ring Avulsion Technology. This ring will break away if your hand gets stuck on fast-moving objects. PREMIUM ENSO SILICONE RING: Enso is the first manufacturer of Premium Silicone Wedding Rings. Buy with confidence knowing that every Enso ring includes a lifetime warranty. Our warranty covers rips, breaks, tears, and discoloration. Your first warranty is completely on us.",active,4.7
"Knot-Theory-Breathable-Silicone-Wedding-Rings-for-Men-&-Women-|-Black-Rose-Gold-Silver-Blue-Red-Rubber-Wedding-Bands-for-Him-&-Her-|-Anniversary-Gift-Size-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16","Knot Theory Breathable Silicone Wedding Rings for Men & Women | Black Rose Gold Silver Blue Red Rubber Wedding Bands for Him & Her | Anniversary Gift Size 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",true,Product details,"How is this comfort fit silicone ring different? ENHANCED WITH TRUE COMFORT FIT - Curved on the inside to promote air circulation, giving you the most comfortable wear.",Size,"['Size 8 ~ 8.5 (6mm Band),Size 9 ~ 9.5 (6mm Band),Size 4 ~ 4.5 (4mm SLIM Band),Size 5 ~ 5.5 (4mm SLIM Band),Size 6 ~ 6.5 (4mm SLIM Band),Size 7 ~ 7.5 (4mm SLIM Band),Size 8 ~ 8.5 (4mm SLIM Band),Size 9 ~ 9.5 (4mm SLIM Band),Size 10 ~ 10.5 (4mm SLIM Band),Size 10 ~ 10.5 (6mm Band),Size 11 ~ 11.5 (4mm SLIM Band),Size 11 ~ 11.5 (6mm Band),Size 12 ~ 12.5 (4mm SLIM Band),Size 12 ~ 12.5 (6mm Band),Size 13 ~ 13.5 (4mm SLIM Band),Size 13 ~ 13.5 (6mm Band),Size 14 ~ 14.5 (6mm Band),Size 15 ~ 15.5 (6mm Band),Size 16 ~ 16.5 (6mm Band),Size 5 ~ 5.5 (6mm Band),Size 6 ~ 6.5 (6mm Band),Size 7 ~ 7.5 (6mm Band),8,9,10,11']",Shopify,1000,deny,manual,$19.99,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31ftKMouXFL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41ZzqVkp1rL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41Qjr6hs3oL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51gqF3TRqPL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51Tz3MF0aJL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/512XqA2ZIEL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/512JnaV3W+L.SX38_SY50_CR,0,0,38,50_PKmb-play-button-overlay-thumb_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"How is this comfort fit silicone ring different? ENHANCED WITH TRUE COMFORT FIT - Curved on the inside to promote air circulation, giving you the most comfortable wear. SILKEN SURFACE, NO MOISTURE TRAP GROOVES - Made from micro-blasted moulds. Feels amazing on the skin. Smooth inner surface without grooves that trap moisture, so your skin stays fresh and dry. NO FINGER-MUFFIN-TOP - Ergonomic comfort fit prevents finger muffin-top. PERFECT FIT PROMISE - Whether this is a gift for yourself or your husband or wife, we make sure you get the perfect fit without paying extra. AWARD-WINNING DESIGNER - Knot Theory rings are loved by loyal fans in over 35 countries.",active,5.0
"Dazzlingrock-Collection-Round-Emerald-&-Diamond-Ladies-Millgrain-Anniversary-Wedding-Stackable-Band,-14K-Gold","Dazzlingrock Collection Round Emerald & Diamond Ladies Millgrain Anniversary Wedding Stackable Band, 14K Gold",true,Product details,Other ring sizes may be shipped sooner. Most rings can be resized.,Size,"['4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10']",Shopify,1000,deny,manual,$349.25,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41uqUxXbYeL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/410ArVxYq1L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/419AN6QD8KL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31C0Nt9Bq6L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/515j9MKp5vL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41o1IYWKJPL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41fNXDBLnWL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"Other ring sizes may be shipped sooner. Most rings can be resized. Items is smaller than what appears in photo. Photo enlarged to show detail. Satisfaction Guaranteed. Return or exchange any order within 30 days. Color may varies from photo. All our diamonds are conflict free. Dazzlingrock 90 Day Warranty - We stand behind our products. If you lose an accent stone or your setting is damaged during NORMAL wear, we will fix it for FREE. Please read our About us page for more info.",active,3.3
"Dazzlingrock-Collection-Round-Gemstone,-Black-&-White-Diamond-Ladies-Twisted-Bypass-3-Stone-Wedding-Ring-Set,-Available-in-Various-Gemstones-&-Metal-10K/14K/18K-Gold-&-925-Sterling-Silver","Dazzlingrock Collection Round Gemstone, Black & White Diamond Ladies Twisted Bypass 3 Stone Wedding Ring Set, Available in Various Gemstones & Metal 10K/14K/18K Gold & 925 Sterling Silver",true,Product details,This stunning wedding ring set is a piece of jewel that will certainly amaze you.,Size,"['4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10']",Shopify,1000,deny,manual,"$1,595.80",TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51E-Stnu25S._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51EKPk1AaNS._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41SowyKrJ3S._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51YibT0Tn6S._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41Zta8SECpS._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/515j9MKp5vL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"This stunning wedding ring set is a piece of jewel that will certainly amaze you. Choose Your Metal Type, Metal Stamp, Gemstone & Ringsize Requirements from the Style: Items is smaller than what appears in photo. Photo enlarged to show detail. 100% SATISFACTION GUARANTEE - Our products are backed by incredible customer service and We offer a 100% satisfaction money back guarantee for 30 days. When it comes to giving gifts, there is always a DIAMOND as it means “FOREVER”. So make this the ultimate jewelry gift idea for women, Moms, Fiancé, Sisters and In-laws, Valentine's - Mother's Day or Christmas. Color stone has inclusions and external blemishes visible to the naked eye. Color may varies from photo. Dazzlingrock 90 Day Warranty - We stand behind our products. If you lose an accent stone or your setting is damaged during NORMAL wear, we will fix it for FREE. Please read our About us page for more info",active,3.9
Sterling-Silver-Wedding-2mm-Band-Plain-Comfort-Fit-Ring-Solid-925-Italy,Sterling Silver Wedding 2mm Band Plain Comfort Fit Ring Solid 925 Italy,true,Product details,QUALITY — All jewelry is new and inspected for quality assurance,Size,"['2,2.5,3,3.5,4,5,6,7,8,9,10,11,12,13,14,15,16']",Shopify,1000,deny,manual,$8.89,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41HtpNmVFSL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"QUALITY — All jewelry is new and inspected for quality assurance International products have separate terms, are sold from abroad and may differ from local products, including fit, age ratings, and language of product, labeling or instructions;;International products have separate terms, are sold from abroad and may differ from local products, including fit, age ratings, and language of product, labeling or instructions QUALITY - All jewelry is new and inspected for quality assurance",active,4.6
"Enso-Rings-Women's-Infinity-Silicone-Ring-|-Lifetime-Quality-Guarantee-|-Comfortable,-Breathable,-and-Safe-Silicone-Ring","Enso Rings Women's Infinity Silicone Ring | Lifetime Quality Guarantee | Comfortable, Breathable, and Safe Silicone Ring",true,Product details,"WOMEN’S INFINITY SILICONE RING: Our timeless Infinity Collection, a universal symbol of love and devotion, gets a fresh update with an improved design. Now with a more comfortable, modern fit and smooth finish to accentuate the design of this never-ending symbol of love, the Infinity ring is a powerful expression of your commitment to each other.",Size,"['4,5,6,7,8,9']",Shopify,1000,deny,manual,$24.99,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31aIPQ1BVgL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41IdhYbjBFL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51fPHFZ57gL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/411C0ZJ8IJL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51fpTw7hMBL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/417joNMCMGL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51ITm1dJ+YL.SS40_PKmb-play-button-overlay-thumb_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"WOMEN’S INFINITY SILICONE RING: Our timeless Infinity Collection, a universal symbol of love and devotion, gets a fresh update with an improved design. Now with a more comfortable, modern fit and smooth finish to accentuate the design of this never-ending symbol of love, the Infinity ring is a powerful expression of your commitment to each other. WOMEN’S WEDDING BAND: This silicone wedding band looks great and is also offered is men’s sizes, allowing you and your fiancé to purchase a matching set! The ring is 4.5mm Wide, 1.5mm Thick. Purchase the same color ring for you and your partner, or complimenting colors. COMFORTABLE CONTOUR FIT: The Enso Infinity ring is in a league of its own. The unique, flexible design means wearing your ring will be comfortable even if your fingers or hands are prone to swelling. Enso Rings are perfect for the gym, the job, or the outdoors. They go wherever you do. FINGER-SAFE RING: At Enso, we know how active you are, so we have engineered this ring with Anti Ring Avulsion Technology. This ring will break away if your hand gets stuck on fast-moving objects. PREMIUM ENSO SILICONE RING: Enso is the first manufacturer of Premium Silicone Wedding Rings. Buy with confidence knowing that every Enso ring includes a lifetime warranty. Our warranty covers rips, breaks, tears, and discoloration. Your first warranty is completely on us.",active,4.6
1.10-Carat-(ctw)-10K-Gold-Princess-&-Round-Cut-Black-&-White-Diamond-Bridal-Engagement-Ring-Set-1-CT,1.10 Carat (ctw) 10K Gold Princess & Round Cut Black & White Diamond Bridal Engagement Ring Set 1 CT,true,Product details,Other ring sizes may be shipped sooner. Most rings can be resized.,Size,"['4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10']",Shopify,1000,deny,manual,"$1,039.63",TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51f4okBSDaL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51f4okBSDaL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51f4okBSDaL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51F32630-JL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/A1UlyBGd01L.SS40_PKmb-play-button-overlay-thumb_.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"Other ring sizes may be shipped sooner. Most rings can be resized. Satisfaction Guaranteed. Return or exchange any order within 30 days. Items is smaller than what appears in photo. Photo enlarged to show detail. All our diamonds are conflict free.. Gemstone : Diamond Dazzlingrock 90 Day Warranty - We stand behind our products. If you lose an accent stone or your setting is damaged during NORMAL wear, we will fix it for FREE. Please read our About us page for more info",active,
"Dazzlingrock-Collection-Round-White-Diamond-Stackable-Wedding-Band-for-Women-(0.08-ctw,-Color-I-J,-Clarity-I2-I3)-in-10K-Gold","Dazzlingrock Collection Round White Diamond Stackable Wedding Band for Women (0.08 ctw, Color I-J, Clarity I2-I3) in 10K Gold",true,Product details,📋【SPECIFICATIONS】 - 10K Rose Gold 🔹 White Diamond Color: I-J | Clarity: I2-I3 | Creation: Natural | Treatment: Not-treated 🔹 Round White Diamond(s) Weight: 0.08 Carat 🔹 Product Width: 1.00mm (0.03 inch) 🔹 Model Number: K1986-10KR-4,Size,"['4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10']",Shopify,1000,deny,manual,$131.21,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31bzLYgZHWL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41KayXPyelL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41p1I7DxNtS._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31-JrrVcU2L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/312vQNYRBAL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/4115KN18OhL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51noNxQssaL.SS40_PKmb-play-button-overlay-thumb_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"📋【SPECIFICATIONS】 - 10K Rose Gold 🔹 White Diamond Color: I-J | Clarity: I2-I3 | Creation: Natural | Treatment: Not-treated 🔹 Round White Diamond(s) Weight: 0.08 Carat 🔹 Product Width: 1.00mm (0.03 inch) 🔹 Model Number: K1986-10KR-4 💎 When it comes to giving gifts, there is always a DIAMOND as it means “FOREVER”; So make this the ultimate jewelry gift idea for Women, Wife, Fiancée, Moms, Sisters and In-laws, Valentine's - Anniversary, Mother's Day or Christmas. ❗【DISCLAIMER】 - Item(s) are smaller than what appears in photo; Photo enlarged to show detail. Please refer to the scale image under product photos for exact dimensions. ✅【GUARANTEE】 - All our diamonds are conflict free, our products are backed by incredible customer service and we offer a money back guarantee for 30 days. ⭐【90 DAY WARRANTY】 - We stand behind our products; Please read our 'About us' page for more info. We take product customization requests through Amazon Messages",active,4.5
Bling-Jewelry-Unisex-Personalized-Plain-Simple-Thin-Cigar-Flat-Couples-Titanium-Wedding-Band-Rings For Men-Women-Polished-Black-Silver-Rose-Gold-Tone-Comfort-Fit-3MM,Bling Jewelry Unisex Personalized Plain Simple Thin Cigar Flat Couples Titanium Wedding Band Rings For Men Women Polished Black Silver Rose Gold Tone Comfort Fit 3MM,true,Product details,DESIGNED TO LAST- This classic ring for men or women will stand the test of time the everlasting polish and comfort fit on this wedding band make it the ideal choice,Size,"['5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12']",Shopify,1000,deny,manual,$12.99,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41oMNYFweWL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/415Jvph2iDL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31PntqyRrRL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41B7JEFIJiL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31azBOIti4L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41QqmRgWFGL.SS40_PKmb-play-button-overlay-thumb_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"DESIGNED TO LAST- This classic ring for men or women will stand the test of time the everlasting polish and comfort fit on this wedding band make it the ideal choice Measure: Width 3MM Weight: Approx. 10 Gram Material: Titanium, Alloyed, Carbide Why not engrave names, inspirational message, letters, numbers, date, coordinates or medical information. Unisex -durable will resist tarnish and never lose its shine. Carbide - heavy durable hypoallergenic and scratch resistant. Thoughtful Gifts for Him: Our jewelry is the perfect choice for special occasions such as Father's Day, birthdays, Christmas, holidays, graduations, groomsmen gifts, anniversaries, and Valentine’s Day. Whether it's for your best friend, boyfriend, brother, dad, grandfather, son, husband, uncle, nephew, a teenage guy, or even to treat yourself, our unique pieces make for meaningful and stylish gifts for men. USA-Based Company with 30-Day After-Sale Service: We take pride in our craftsmanship and product quality. Rest assured, if you receive an item with manufacturing defects, we've got you covered. Click on 'Sold by' to contact our friendly customer service. Your satisfaction is our top priority, and we'll do everything we can to make it right.",active,4.3
